,train_loss,train_score,valid_loss,valid_score
1,0.23442107142558086,0.5149910910125884,0.15706364643628612,0.606264104523513
2,0.18958647204538956,0.5721592938157701,0.15541888051237795,0.646434816335425
3,0.17928959354180699,0.6354541184190549,0.15380647819649224,0.6810382581596572
4,0.17115985725835467,0.6842461447066818,0.15094119452077187,0.7101944001361332
5,0.1637551265092475,0.724023303721102,0.14843149003258513,0.7291798841984471
6,0.1563027161065229,0.7600796951767651,0.14476419301943544,0.7538156059539096
7,0.14964600826206903,0.78824976167862,0.14232156124034542,0.7710020720861649
8,0.14420564585781684,0.8090500151524863,0.1400205381900255,0.7821266189517017
9,0.1398290885029991,0.8237757122328982,0.14082775143849338,0.7798586992290999
10,0.13603870688579034,0.836120962160997,0.13854360027364426,0.7917086781528077
11,0.13221708110001815,0.8473090206253904,0.13944406887413535,0.7912402481063786
12,0.12884727948241764,0.8570255410112755,0.1392986000589798,0.7952393237047239
13,0.12524310479696252,0.8667705541517415,0.13699534478271666,0.8027194375766532
14,0.12189015637342011,0.8752655885126924,0.13912236731659416,0.8006586542229893
15,0.11925363118546108,0.8819267722751126,0.1373122217465032,0.8035906115328818
16,0.11616848075151136,0.889563702488871,0.13945129628013248,0.8049168548753428
17,0.11339144375974201,0.8959630892139582,0.13893970842558914,0.8073068263143949
18,0.11082799124076616,0.9015351859182411,0.14237170643601682,0.8046180846526564
19,0.10809000951625426,0.9076311497695236,0.14069684857696843,0.8079785704883777
20,0.10534878664719811,0.9133370001269444,0.14251072908197443,0.8091036853526417
21,0.10292636244786417,0.9180832071825811,0.14068954328269315,0.808717703559628
22,0.10031166449141056,0.9235440814490757,0.14191122874160486,0.8102376102417
23,0.09790076699001998,0.9277386607126746,0.14360147355798564,0.8103106992481853
24,0.09533200384591747,0.9322579065626084,0.14452292415901927,0.8120000284587393
25,0.09287575259564074,0.9366678306530103,0.14458597931393816,0.8080423708434129
26,0.09042782961446262,0.9411163787082284,0.14729356923443407,0.8069116928602801
27,0.08775158271251261,0.9449361099197628,0.153419797794402,0.802265221145844
