,train_loss,train_score,valid_loss,valid_score
1,0.16368658091765126,0.6968291933501067,0.1310241093222624,0.8358879130953251
2,0.12888756260227927,0.8379259123385808,0.12350971908031212,0.8669716930869168
3,0.11690381990559998,0.8747607837859919,0.13117303673563332,0.8596243927177228
4,0.10881101546084382,0.8946538823862756,0.1322935543323759,0.8671962835633179
5,0.10196914211682184,0.9104939588285305,0.14654972904061075,0.8508597976877472
6,0.09656266109161438,0.9212498604805227,0.14095174743090302,0.8722376751463153
7,0.09163978711920535,0.9307176944734977,0.14718263276318397,0.8522392388771994
8,0.08666752134824106,0.9397080485064043,0.14938731788187565,0.8630201183494194
9,0.08282566111522856,0.945386033413258,0.1574305068456267,0.8581355094168365
10,0.07887334749102592,0.9511515304650993,0.16847431435480387,0.8396749012053997
11,0.07577577263260578,0.955568957719315,0.1829738963313611,0.8509648354303021
